"","ebird_spp_code","ebird_com_name","ebird_sci_name","total_counted","historic_cbc_com_name","lon_filter","lat_filter","prov_state_filter","bcr_filter","add_nocturnal","add_feeder","nb","ni","na","nt","min_detect_per_circ","min_non_zero_count","min_detect_ratio","min_individuals"
"74","blugrb1","Blue Grosbeak","Passerina caerulea",337,"Blue Grosbeak","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,9
"75","blujay","Blue Jay","Cyanocitta cristata",10607935,"Blue Jay","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"76","bncfly","Brown-crested Flycatcher","Myiarchus tyrannulus",226,"Brown-crested Flycatcher","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,20,3,3,3,9
"77","bnhcow","Brown-headed Cowbird","Molothrus ater",311756392,"Brown-headed Cowbird","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"78","bnhnut","Brown-headed Nuthatch","Sitta pusilla",236207,"Brown-headed Nuthatch","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"79","bohwax","Bohemian Waxwing","Bombycilla garrulus",4580310,"Bohemian Waxwing","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"80","bongul","Bonaparte's Gull","Chroicocephalus philadelphia",5467865,"Bonapartes Gull","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"81","borchi2","Boreal Chickadee","Poecile hudsonicus",125358,"Boreal Chickadee","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"82","borowl","Boreal Owl","Aegolius funereus",355,"Boreal Owl","-50,-180","90,20","!ZZ","!ZZ",1,0,20000,10000,10000,30,3,3,3,9
"83","botgra","Boat-tailed Grackle","Quiscalus major",4112642,"Boat-tailed Grackle,Boat-tailed Grackle (torreyi/alabamensis),Boat-tailed Grackle (westoni)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"84","botspa","Botteri's Sparrow","Peucaea botterii",103,"Botteris Sparrow","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"85","bracor","Brandt's Cormorant","Urile penicillatus",780206,"Brandts Cormorant","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"86","brant","Brant","Branta bernicla",4758457,"Brant,Brant (Atlantic),Brant (Black)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"87","brbhum","Broad-billed Hummingbird","Cynanthus latirostris",2078,"Broad-billed Hummingbird,Broad-billed Hummingbird (Northern)","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"88","brdowl","Barred Owl","Strix varia",120690,"Barred Owl,Barred Owl (Northern)","-50,-180","90,20","!ZZ","!ZZ",1,0,5000,10000,5000,1,3,3,3,27
"89","brebla","Brewer's Blackbird","Euphagus cyanocephalus",26451216,"Brewers Blackbird","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"90","brespa","Brewer's Sparrow","Spizella breweri",360571,"Brewers Sparrow,Brewers Sparrow (breweri)","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"91","britit","Bridled Titmouse","Baeolophus wollweberi",52833,"Bridled Titmouse","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"92","brnboo","Brown Booby","Sula leucogaster",2239,"Brown Booby","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,9
"93","brncre","Brown Creeper","Certhia americana",540495,"Brown Creeper,Brown Creeper (albescens/alticola),Brown Creeper (occidentalis Group)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"94","brnjay","Brown Jay","Cyanocorax morio",530,"Brown Jay","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"95","brnow","American Barn Owl","Tyto furcata",30176,"Barn Owl,Barn Owl (American)","-50,-180","90,20","!ZZ","!ZZ",1,0,5000,10000,5000,1,3,3,3,27
"96","brnpel","Brown Pelican","Pelecanus occidentalis",2145102,"Brown Pelican,Brown Pelican (Atlantic),Brown Pelican (California)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"97","brnthr","Brown Thrasher","Toxostoma rufum",240781,"Brown Thrasher","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"98","brocow","Bronzed Cowbird","Molothrus aeneus",230771,"Bronzed Cowbird","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"99","brthum","Broad-tailed Hummingbird","Selasphorus platycercus",394,"Broad-tailed Hummingbird","-50,-180","90,20","!ZZ","!ZZ",0,0,50000,10000,10000,20,3,3,3,9
"100","brwhaw","Broad-winged Hawk","Buteo platypterus",2739,"Broad-winged Hawk,Broad-winged Hawk (Northern)","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"101","btbwar","Black-throated Blue Warbler","Setophaga caerulescens",1205,"Black-throated Blue Warbler","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"102","btnwar","Black-throated Green Warbler","Setophaga virens",2252,"Black-throated Green Warbler","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"103","btywar","Black-throated Gray Warbler","Setophaga nigrescens",5019,"Black-throated Gray Warbler","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"104","bubhum","Buff-bellied Hummingbird","Amazilia yucatanensis",2752,"Buff-bellied Hummingbird","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"105","budger","Budgerigar","Melopsittacus undulatus",41680,"Budgerigar,Budgerigar (Domestic type)","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"106","buffle","Bufflehead","Bucephala albeola",7449457,"Bufflehead","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"107","buggna","Blue-gray Gnatcatcher","Polioptila caerulea",557834,"Blue-gray Gnatcatcher,Blue-gray Gnatcatcher (caerulea),Blue-gray Gnatcatcher (obscura Group)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"108","buhvir","Blue-headed Vireo","Vireo solitarius",69893,"Blue-headed Vireo","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"109","bulori","Bullock's Oriole","Icterus bullockii",2604,"Bullocks Oriole","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"110","burowl","Burrowing Owl","Athene cunicularia",20587,"Burrowing Owl","-50,-180","90,20","!ZZ","!ZZ",1,0,10000,10000,5000,1,3,3,3,27
"111","bushti","Bushtit","Psaltriparus minimus",2622194,"Bushtit,Bushtit (Black-eared),Bushtit (Interior),Bushtit (Pacific)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"112","buthum","Blue-throated Mountain-gem","Lampornis clemenciae",415,"Blue-throated Hummingbird","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"113","buwtea","Blue-winged Teal","Spatula discors",961420,"Blue-winged Teal","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"114","cacwre","Cactus Wren","Campylorhynchus brunneicapillus",116021,"Cactus Wren","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"115","calcon","California Condor","Gymnogyps californianus",455,"California Condor","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,20000,20,3,3,3,27
"116","calgna","California Gnatcatcher","Polioptila californica",9378,"California Gnatcatcher,Black-tailed Gnatcatcher","-116.5,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"117","calgul","California Gull","Larus californicus",4498965,"California Gull,California Gull (albertaensis),California Gull (californicus)","-50,-180","90,20","!ZZ","!ZZ",0,0,30000,10000,10000,1,3,3,3,27
"118","calhum","Calliope Hummingbird","Selasphorus calliope",305,"Calliope Hummingbird","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"119","calqua","California Quail","Callipepla californica",2387287,"California Quail","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"120","calthr","California Thrasher","Toxostoma redivivum",74798,"California Thrasher","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"121","caltow","California Towhee","Melozone crissalis",475670,"California Towhee,Canyon Towhee","-114.6,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,10000,10,3,3,3,27
"122","camwar","Cape May Warbler","Setophaga tigrina",714,"Cape May Warbler","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"123","cantow","Canyon Towhee","Melozone fusca",82514,"Canyon Towhee,California Towhee","-50,-114.5999","90,20","!ZZ","!ZZ",0,0,10000,10000,10000,10,3,3,3,27
"124","canvas","Canvasback","Aythya valisineria",7198203,"Canvasback","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"125","canwre","Canyon Wren","Catherpes mexicanus",41638,"Canyon Wren","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"126","carchi","Carolina Chickadee","Poecile carolinensis",3666129,"Carolina Chickadee","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"127","carwre","Carolina Wren","Thryothorus ludovicianus",2235474,"Carolina Wren","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"128","casauk","Cassin's Auklet","Ptychoramphus aleuticus",693150,"Cassins Auklet","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"129","casfin","Cassin's Finch","Haemorhous cassinii",103310,"Cassins Finch","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"130","caskin","Cassin's Kingbird","Tyrannus vociferans",46582,"Cassins Kingbird","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"131","casspa","Cassin's Sparrow","Peucaea cassinii",5126,"Cassins Sparrow","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"132","caster1","Caspian Tern","Hydroprogne caspia",117383,"Caspian Tern","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"133","casvir","Cassin's Vireo","Vireo cassinii",812,"Cassins Vireo","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"134","categr1","Western Cattle-Egret","Ardea ibis",1572365,"Western Cattle-Egret,Cattle Egret,Cattle Egret (Western)","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"135","cavswa","Cave Swallow","Petrochelidon fulva",18906,"Cave Swallow,Cave Swallow (Texas)","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,20,3,3,3,27
"136","cedwax","Cedar Waxwing","Bombycilla cedrorum",8023553,"Cedar Waxwing","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"137","chbchi","Chestnut-backed Chickadee","Poecile rufescens",1078936,"Chestnut-backed Chickadee","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"138","chclon","Chestnut-collared Longspur","Calcarius ornatus",98302,"Chestnut-collared Longspur","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"139","chirav","Chihuahuan Raven","Corvus cryptoleucus",89734,"Chihuahuan Raven","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"140","chispa","Chipping Sparrow","Spizella passerina",2257886,"Chipping Sparrow","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"141","chswar","Chestnut-sided Warbler","Setophaga pensylvanica",140,"Chestnut-sided Warbler","-50,-180","90,20","!ZZ","!ZZ",0,0,30000,10000,20000,20,3,3,3,9
"142","chukar","Chukar","Alectoris chukar",31846,"Chukar","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"143","chwwid","Chuck-will's-widow","Antrostomus carolinensis",711,"Chuck-wills-widow","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"144","cintea","Cinnamon Teal","Spatula cyanoptera",149412,"Cinnamon Teal","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"145","clanut","Clark's Nutcracker","Nucifraga columbiana",70963,"Clarks Nutcracker","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"146","clarai11","Clapper Rail","Rallus crepitans",3793,"Clapper Rail,Clapper Rail (Atlantic Coast),Clapper Rail (Gulf Coast),Ridgways Rail,Ridgways Rail (Light-footed),Ridgways Rail (San Francisco Bay),Ridgways Rail (Yuma),Ridgways/Mangrove/Clapper Rail","-50,-108.9999","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
