ebird_com_me,dir_exists,got_data,got_coverage,mapped_neighbors,got_draws,got_par_sums,made_trend_maps,got_indices,got_trends,prop_bad_rh,prop_bad_ess,trend_median,trend_q0.025,trend_q0.975,trend_median_10yr,trend_q0.025_10yr,trend_q0.975_10yr,ebird_sci_me,sum_success
Boparte's Gull,1,1,1,1,1,1,1,1,1,0,0,0.751747855,-0.874818797,3.268006393,-1.103751484,-4.971846982,5.801887641,Chroicocephalus_philadelphia,6
Boreal Chickadee,1,1,1,1,1,1,1,1,1,0,0,0.757263459,-0.396983673,1.916900023,-2.604845731,-5.160288108,-0.36622271,Poecile_hudsonicus,6
Boreal Owl,1,1,1,0,0,0,0,0,0,,,,,,,,,Aegolius_funereus,2
Boat-tailed Grackle,1,1,1,1,1,1,1,1,1,0,0,30.42403606,23.46767487,40.61880073,1.939037659,-1.36615095,6.149797486,Quiscalus_major,6
Botteri's Sparrow,1,1,1,0,0,0,0,0,0,,,,,,,,,Peucaea_botterii,2
Brandt's Cormorant,1,1,1,1,1,1,1,1,1,0,0,2.714423812,1.575671955,3.880570638,2.719255743,-0.241122205,6.176909999,Urile_penicillatus,6
Brant,1,1,1,1,1,1,1,1,1,0,0,1.741187004,-0.006741041,4.146985431,0.216632974,-4.058277661,4.766627334,Branta_bernicla,6
Broad-billed Hummingbird,1,1,1,0,0,0,0,0,0,,,,,,,,,Cynthus_latirostris,2
Barred Owl,1,1,1,1,1,1,1,1,1,0,0,1.142156122,0.901439801,1.368330499,1.041809721,0.508414134,1.583969675,Strix_varia,6
Brewer's Blackbird,1,1,1,1,1,1,1,1,1,0,0,-3.114542933,-3.912768031,-2.308319902,-3.184320703,-5.743227267,-0.731954058,Euphagus_cyanocephalus,6
Brewer's Sparrow,1,1,1,1,1,1,1,1,1,0,0,-1.64489563,-3.515536698,0.316686961,-2.881111744,-8.653501986,3.476617779,Spizella_breweri,6
Bridled Titmouse,1,1,1,1,1,1,1,1,1,0,0,0.000927139,-1.39838556,1.085285874,1.101791025,-1.729986132,5.068952773,Baeolophus_wollweberi,6
Brown Booby,1,1,1,0,0,0,0,0,0,,,,,,,,,Sula_leucogaster,2
Brown Creeper,1,1,1,1,1,1,1,1,1,0,0,0.104909533,-0.060520367,0.233596104,-0.558823861,-0.867150519,-0.270751255,Certhia_america,6
Brown Jay,1,1,0,0,0,0,0,0,0,,,,,,,,,Cyanocorax_morio,1
American Barn Owl,1,1,1,1,1,1,1,1,1,0,0,-0.71659606,-1.107545052,-0.334314705,-4.030164361,-5.34165653,-2.802158393,Tyto_furcata,6
Brown Pelican,1,1,1,1,1,1,1,1,1,0.021064302,0.05654102,2.903019486,2.370296961,4.275157313,-0.465337677,-1.499906979,1.657563288,Pelecanus_occidentalis,6
Brown Thrasher,1,1,1,1,1,1,1,1,1,0,0,-2.016956177,-2.193203533,-1.850574208,-0.793187426,-1.240063089,-0.275444577,Toxostoma_rufum,6
Bronzed Cowbird,1,1,1,1,1,1,1,1,1,0,0,-0.069899044,-2.384196256,2.374087936,-5.570840156,-13.71064287,4.138009476,Molothrus_aeneus,6
Broad-tailed Hummingbird,1,1,1,0,0,0,0,0,0,,,,,,,,,Selasphorus_platycercus,2
Broad-winged Hawk,1,1,1,0,0,0,0,0,0,,,,,,,,,Buteo_platypterus,2
Black-throated Blue Warbler,1,1,1,0,0,0,0,0,0,,,,,,,,,Setophaga_caerulescens,2
Black-throated Green Warbler,1,1,1,1,1,1,1,1,1,0,0,1.227890947,0.153369159,2.301645836,0.594566873,-3.013622586,4.51309346,Setophaga_virens,6
Black-throated Gray Warbler,1,1,1,1,1,1,1,1,1,0,0,2.622846602,1.448310895,3.70437852,0.662447647,-2.187160178,3.597836431,Setophaga_nigrescens,6
Buff-bellied Hummingbird,1,1,1,1,1,1,1,1,1,0,0,4.083056362,2.45947557,6.048763766,-8.782546222,-11.66304237,-5.630993785,Amazilia_yucatanensis,6
Budgerigar,1,1,1,0,0,0,0,0,0,,,,,,,,,Melopsittacus_undulatus,2
Bufflehead,1,1,1,1,1,1,1,1,1,0,0,1.5216413,0.899947813,2.002729924,1.120685799,0.270758907,1.955563848,Bucephala_albeola,6
Blue-gray Gtcatcher,1,1,1,1,1,1,1,1,1,0,0,1.079548966,0.782129655,1.3541997,3.796966363,1.752410132,4.701562407,Polioptila_caerulea,6
Blue-headed Vireo,1,1,1,1,1,1,1,1,1,0,0,21.16844898,14.08819383,33.6707967,3.234832061,2.251694154,4.301450728,Vireo_solitarius,6
Bullock's Oriole,1,1,1,1,1,1,1,1,1,0,0,0.760915146,-0.183946495,1.827838493,-2.316598108,-5.541788078,0.981063067,Icterus_bullockii,6
Burrowing Owl,1,1,1,1,1,1,1,1,1,0,0,-0.979464137,-1.641966949,-0.245544847,-2.036077226,-4.514228453,0.836271452,Athene_cunicularia,6
Bushtit,1,1,1,1,1,1,1,1,1,0,0,0.727292602,0.242900918,1.201846124,0.407184018,-1.481480344,2.222202151,Psaltriparus_minimus,6
Blue-throated Mountain-gem,0,0,0,0,0,0,0,0,0,,,,,,,,,Lampornis_clemenciae,0
Blue-winged Teal,1,1,1,1,1,1,1,1,1,0,0,1.069056538,0.427817522,1.871103066,-0.342406831,-2.228230985,2.108540749,Spatula_discors,6
Cactus Wren,1,1,1,1,1,1,1,1,1,0,0,-2.019225854,-2.483847824,-1.564682943,-2.097974813,-3.609320799,-0.686083358,Campylorhynchus_brunneicapillus,6
California Condor,1,1,1,0,0,0,0,0,0,,,,,,,,,Gymnogyps_californianus,2
California Gtcatcher,1,1,1,0,0,0,0,0,0,,,,,,,,,Polioptila_californica,2
California Gull,1,1,1,1,1,1,1,1,1,0,0,1.204404461,0.188596478,2.417466119,-3.628426122,-6.332267993,1.094755261,Larus_californicus,6
Calliope Hummingbird,1,1,1,0,0,0,0,0,0,,,,,,,,,Selasphorus_calliope,2
California Quail,1,1,1,1,1,1,1,1,1,0,0,0.549954728,0.107398857,0.978701185,-1.163907447,-2.536462056,0.326961288,Callipepla_californica,6
California Thrasher,1,1,1,1,1,1,1,1,1,0,0,0.112344233,-0.264928066,0.487969885,0.280467444,-0.867718211,1.606060896,Toxostoma_redivivum,6
California Towhee,1,1,1,1,1,1,1,1,1,0,0,-0.453482444,-0.641835061,-0.242738369,-1.367424641,-2.117216234,-0.837563911,Melozone_crissalis,6
Cape May Warbler,1,1,1,0,0,0,0,0,0,,,,,,,,,Setophaga_tigri,2
Canyon Towhee,1,1,1,1,1,1,1,1,1,0,0,-2.087613993,-2.43222278,-1.719757962,-2.956817168,-3.711941111,-1.384350475,Melozone_fusca,6
Canvasback,1,1,1,1,1,1,1,1,1,0,0,-1.391125533,-2.400027538,-0.350527078,-2.978298398,-6.288527774,1.410820184,Aythya_valisineria,6
Canyon Wren,1,1,1,1,1,1,1,1,1,0,0,-0.756915086,-1.29752129,-0.207362947,-3.962394198,-5.803987951,-2.135343963,Catherpes_mexicanus,6
Caroli Chickadee,1,1,1,1,1,1,1,1,1,0,0,0.385713967,0.251873424,0.515392447,0.566929249,0.134026745,0.997208679,Poecile_carolinensis,6
Caroli Wren,1,1,1,1,1,1,1,1,1,0,0,1.72660775,1.570494404,1.877224019,2.09374007,1.73333228,2.460601673,Thryothorus_ludovicianus,6
Cassin's Auklet,1,1,1,1,1,1,1,1,1,0,0,-1.981304719,-5.163161993,1.388995329,-21.52569215,-30.07065081,-11.42151654,Ptychoramphus_aleuticus,6
Cassin's Finch,1,1,1,1,1,1,1,1,1,0,0,0.084572351,-1.461729176,1.624147775,2.043810441,-1.702983974,6.52447986,Haemorhous_cassinii,6
Cassin's Kingbird,1,1,1,0,0,0,0,0,0,,,,,,,,,Tyrannus_vociferans,2
Cassin's Sparrow,1,1,1,1,1,1,1,1,1,0,0,-2.742656021,-4.650752791,-0.833476251,-8.816104842,-16.55142264,-4.224413899,Peucaea_cassinii,6
Caspian Tern,1,1,1,1,1,1,1,1,1,0,0,-1.283045711,-1.874717607,-0.655691979,-5.02204866,-7.1351368,-2.980390292,Hydroprogne_caspia,6
Cassin's Vireo,1,1,1,1,1,1,1,1,1,0,0,14.30653413,7.682904488,24.4282288,5.77318863,0.857143016,11.39427849,Vireo_cassinii,6
Western Cattle-Egret,1,1,1,1,1,1,1,1,1,0,0,-1.479054481,-2.332618822,-0.684187977,-0.691406441,-2.968627101,2.075742362,Ardea_ibis,6
Cave Swallow,1,1,1,1,1,1,1,1,1,0,0,20.99273669,10.43393212,41.23429606,-16.59736322,-24.13418404,-8.338770989,Petrochelidon_fulva,6
Cedar Waxwing,1,1,1,1,1,1,1,1,1,0,0,0.782613222,-0.363890872,1.260756565,-1.283021117,-2.710440531,-0.406120132,Bombycilla_cedrorum,6
Chestnut-backed Chickadee,1,1,1,1,1,1,1,1,1,0,0,1.12064047,0.777097209,1.644108837,0.141972198,-1.109887072,0.640287717,Poecile_rufescens,6
Chestnut-collared Longspur,1,1,1,1,1,1,1,1,1,0,0,-3.215051842,-8.738680373,2.784110838,-13.14429767,-29.0397931,6.771103195,Calcarius_ortus,6
